,Country Name,Country Code,1973,1974,1975,1980,1981,1982,1989,1990,1991,2007,2008,2009
1,Aruba,ABW,60236,60527,60653,60097,60561,61341,61033,62152,64623,101226,101362,101452
2,Afghanistan,AFG,12108963,12412960,12689164,13356500,13171679,12882518,11868873,12412311,13299016,27100542,27722281,28394806
3,Angola,AGO,6497283,6761623,7023994,8341290,8640478,8952971,11454784,11848385,12248901,20905360,21695636,22514275
4,Argentina,ARG,25056475,25462305,25865775,27896532,28338514,28794550,32148137,32618648,33079002,39684303,40080159,40482786
5,Australia,AUS,13380000,13723000,13893000,14692000,14927000,15178000,16814400,17065100,17284000,20827600,21249200,21691700
6,Brazil,BRA,102259497,104706193,107216209,120694012,123570327,126498322,146328305,149003225,151648007,190130445,192030362,193886505
7,Barbados,BRB,243076,244643,246158,252388,253296,254078,259961,260933,261912,278701,279946,281107
8,Canada,CAN,22491777,22807969,23143275,24515667,24819915,25116942,27276781,27691138,28037420,32889025,33247118,33628895
9,China,CHN,881940000,900350000,916395000,981235000,993885000,1008630000,1118650000,1135185000,1150780000,1317885000,1324655000,1331260000
10,Cuba,CUB,9178809,9320943,9446441,9849457,9898891,9940314,10503967,10596986,10673534,11251117,11236975,11226711
11,Germany,DEU,78936666,78967433,78673554,78288576,78407907,78333366,78751283,79433029,80013896,82266372,82110097,81902307
12,Ecuador,ECU,6614840,6803271,6994331,7989178,8197648,8409396,9991870,10230931,10472476,14296554,14535740,14774412
13,Spain,ESP,34988947,35373335,35757900,37491165,37758631,37986012,38827764,38867322,38966376,45226803,45954106,46362946
14,France,FRA,53207744,53592235,53931390,55161510,55430278,55718940,57940199,58235716,58559309,64016227,64374979,64707035
15,United Kingdom,GBR,56194527,56229974,56225800,56314216,56333829,56313641,57076711,57247586,57424897,61322463,61806995,62276270
16,India,IND,594770136,608802595,623102900,698952837,715384997,732239498,855334675,873277799,891273202,1183209471,1200669762,1217726217
17,Israel,ISR,3278000,3377000,3455000,3878000,3956000,4031000,4518000,4660000,4949000,7180100,7308800,7485600
18,Italy,ITA,54751406,55110868,55441001,56433883,56501675,56543548,56671781,56719240,56758521,58438310,58826731,59095365
19,Cambodia,KHM,7449233,7533332,7524457,6693759,6749849,6919803,8691331,8975597,9289298,13679953,13883835,14093605
20,Morocco,MAR,17048525,17413149,17796171,19990006,20479709,20984023,24355624,24807461,25260407,31163670,31536807,31929087
21,Mexico,MEX,56324310,57966812,59607947,67761367,69407623,71058650,82368930,83943135,85512621,109170503,110815272,112463886
22,Norway,NOR,3960612,3985258,4007313,4085620,4099702,4114787,4226901,4241473,4261732,4709153,4768212,4828726
23,Peru,PER,14615847,15017060,15424745,17547612,17985398,18426420,21614193,22071433,22522383,28333050,28562321,28792663
24,Philippines,PHL,39022759,40144250,41285741,47357741,48672831,50023564,60340768,61895169,63454785,89405482,90901967,92414161
25,United States,USA,211909000,213854000,215973000,227225000,229466000,231664000,246819000,249623000,252981000,301231207,304093966,306771529
26,Vietnam,VNM,46603522,47657554,48718190,54281841,55522804,56814309,66550231,67988855,69436956,85419588,86243424,87092250
