"","Life_Expect","GDP","Population","Trade","Developed"
"Aruba",70.833,2366666616,2.200731281,350,"0"
"Afghanistan",40.128,22105623052.2446,2.30115381,1902.88502092391,"0"
"Angola",42.721,15557934268,2.800756165,4700.2,"0"
"Albania",68.736,22105623052.2446,3.806905212,1012,"0"
"Arab World",55.27798768,22105623052.2446,-0.694872369,66.892,"0"
"United Arab Emirates",65.244,1.58e+11,3.007165677,1902.88502092391,"1"
"Argentina",67.985,52438647922,1.572154307,2961.3,"0"
"Armenia",70.783,22105623052.2446,2.104848204,1902.88502092391,"0"
"Antigua and Barbuda",66.975,22105623052.2446,0.207955183,1902.88502092391,"0"
"Australia",72.62536585,97333060221,1.231185888,11948.4,"1"
"Austria",71.11463415,40059206763,-0.265319411,7519.39,"0"
"Azerbaijan",63.776,22105623052.2446,1.689479633,1902.88502092391,"0"
"Burundi",45.242,596200000,2.026807349,20436.0242857143,"0"
"Belgium",71.97121951,22105623052.2446,5.646038466,1902.88502092391,"1"
"Benin",44.882,19448348073,1.907848377,1321.25,"0"
"Burkina Faso",41.63,402178605,0.617360116,216.523,"0"
"Bangladesh",48.313,114173068744.214,0.52895066,20436.0242857143,"0"
"Bulgaria",71.0497561,65678189097,0.288978161,20436.0242857143,"0"
"Bahrain",67.04,118066298.3,1.480926188,66.5897,"0"
"Bahamas, The",66.785,676870140.3,2.410129397,31.8407,"1"
"Bosnia and Herzegovina",68.872,22105623052.2446,3.179805026,1902.88502092391,"1"
"Belarus",70.04826829,2404697651,2.205915837,1902.88502092391,"1"
"Belize",67.751,114173068744.214,1.08198925,20436.0242857143,"0"
"Bolivia",47.828,355172413.8,3.660317947,141.781,"0"
"Brazil",60.884,1.29e+11,2.368917449,8670,"0"
"Barbados",70.113,1168304306,4.147052764,1049,"0"
"Brunei Darussalam",65.209,22105623052.2446,0.482739308,5949,"0"
"Bhutan",42.311,939972703.5,1.878083335,43.5294,"0"
"Botswana",56.524,420986666.7,1.482230072,61.5492,"0"
"Central African Republic",46.275,22105623052.2446,0.004440596,2.44404,"0"
"Canada",73.52170732,22105623052.2446,-0.117879206,5,"1"
"Central Europe and the Baltics",70.17440869,2857037371,2.772912353,599.157,"0"
"Switzerland",74.66560976,1.74e+11,1.459424913,36106.5,"1"
"Channel Islands",72.409,7706760555,1.137776451,1902.88502092391,"0"
"Chile",65.609,22105623052.2446,1.750400688,68.7669,"1"
"China",63.915,22105623052.2446,0.903134941,1902.88502092391,"0"
"Cote d'Ivoire",48.147,864602103.3,2.192092559,47.7552,"0"
"Cameroon",49.205,22105623052.2446,0.58707031,1902.88502092391,"0"
"Congo, Dem. Rep.",45.222,7622217352,1.555676881,1552.1,"0"
"Congo, Rep.",52.6,1.63e+11,1.766391782,7925.58,"0"
"Colombia",64.518,13098633902,2.214665744,1494.8,"0"
"Comoros",47.887,22105623052.2446,2.829559358,9.50021,"0"
"Cabo Verde",57.63,10237343174,2.750865856,1902.88502092391,"0"
"Costa Rica",68.825,767102679,2.945556404,1902.88502092391,"0"
"Caribbean small states",66.87568199,1960863466,2.511670973,493.3,"0"
"Cuba",72.138,3893839190,4.646134392,1902.88502092391,"0"
"Cyprus",73.753,22105623052.2446,0.475900352,1902.88502092391,"0"
"Czech Republic",70.41463415,13027415244,1.337425298,3883,"0"
"Germany",71.40173171,489914760.7,1.150255509,151.838,"1"
"Djibouti",51.832,22105623052.2446,0.699965182,1902.88502092391,"0"
"Denmark",74.07512195,40474406216,0.288268796,10368.3,"0"
"Algeria",52.866,3599200000,2.568254636,893.8,"0"
"Ecuador",60.774,7731677257,2.769643786,987.02,"0"
"Egypt, Arab Rep.",54.717,11632178869,2.205751714,1902.88502092391,"0"
"Eritrea",45.054,1884120100,2.29917964,531.44,"0"
"Spain",73.31878049,104295643.4,-3.817400833,19.58,"1"
"Estonia",69.44131707,22105623052.2446,2.792103311,1902.88502092391,"0"
"Ethiopia",44.044,22105623052.2446,0.785459176,1902.88502092391,"0"
"Finland",71.67365854,288302907.4,3.049887688,177.697,"1"
"Fiji",62.913,22105623052.2446,2.190128275,312.995,"0"
"France",72.85365854,684268280.8,1.962859548,268.206,"1"
"Micronesia, Fed. Sts.",60.85,29472623242,0.443863076,7628.43,"0"
"Gabon",51.234,3.61e+11,0.630849499,53099.7,"0"
"United Kingdom",72.72439024,690319754.9,3.339480097,286.367,"1"
"Georgia",69.014,2157592937,1.996358833,469.216,"0"
"Ghana",50.811,115182522.1,3.148200007,1902.88502092391,"0"
"Guinea",38.502,22105623052.2446,0.73801073,1902.88502092391,"0"
"Guinea-Bissau",42.263,2810106383,2.400393658,790.696,"0"
"Equatorial Guinea",41.344,28525876727,0.938660354,5356.92,"0"
"Greece",72.29370732,22105623052.2446,-0.749664225,12.4053,"0"
"Grenada",66.895,22105623052.2446,2.136183303,28.489,"0"
"Guatemala",55.14,3645900000,2.257347972,623.5,"0"
"Guam",67.599,22105623052.2446,1.507956874,160.739,"0"
"Guyana",62.14,108985740.2,1.091729233,37.7595,"0"
"Hong Kong SAR, China",73.36829268,494791666.7,1.07853546,343.928,"0"
"Honduras",55.834,681400000,1.799602906,148.938,"0"
"Croatia",70.00195122,1.12e+09,3.026614776,400.075,"0"
"Haiti",48.683,10048022370,1.8961131,1902.88502092391,"0"
"Hungary",69.29,22105623052.2446,0.588081809,7176,"0"
"Indonesia",55.386,1406875081,1.27890789,305.636,"0"
"India",51.012,98472796457,2.321760467,6380.66,"0"
"Ireland",71.61660976,30463855422,2.52512063,4769.8,"0"
"Iran, Islamic Rep.",55.264,51776222350,2.924404879,1902.88502092391,"0"
"Iraq",61.078,13458516763,3.24003482,4214.84,"0"
"Iceland",75.57878049,9483808362,1.645353656,3778.41,"0"
"Israel",72.04512195,22105623052.2446,2.283471582,1940.7,"0"
"Italy",72.64731707,2.28e+11,0.597247219,38525.5,"0"
"Jamaica",69.41,2860411286,1.475612991,759.253,"0"
"Japan",75.05731707,1363039400,2.856649059,152.655,"0"
"Kazakhstan",63.49187805,22105623052.2446,1.291212036,1902.88502092391,"0"
"Kenya",55.273,3259344936,3.741497674,945.057,"0"
"Kyrgyz Republic",61.56485366,55081816.99,1.425358537,36.307,"0"
"Cambodia",23.595,22105623052.2446,2.002498802,1902.88502092391,"0"
"Kiribati",54.399,21784297521,1.682000055,1902.88502092391,"0"
"Kuwait",67.824,22105623052.2446,2.102497532,1902.88502092391,"0"
"Latin America & Caribbean (excluding high income)",62.08920883,22105623052.2446,2.006506324,1902.88502092391,"0"
"Lao PDR",47.722,22105623052.2446,2.345000622,1902.88502092391,"0"
"Lebanon",67.183,22105623052.2446,2.380519109,1902.88502092391,"0"
"Liberia",42.786,22105623052.2446,0.77428454,1902.88502092391,"0"
"Libya",60.6,22105623052.2446,1.524679424,1902.88502092391,"0"
"St. Lucia",65.997,149560513.9,2.632657787,164.006,"0"
"Latin America & Caribbean",62.63051114,22105623052.2446,2.798384039,331,"0"
"Sri Lanka",66.067,22105623052.2446,4.178158946,3542.3,"0"
"Lesotho",53.367,22105623052.2446,0.844284714,1902.88502092391,"0"
"Lithuania",70.86731707,3123333333,1.092447839,1902.88502092391,"0"
"Luxembourg",70.75760976,22105623052.2446,-1.094018156,1902.88502092391,"0"
"Latvia",68.92536585,2283049233,2.822113893,365.738,"0"
"Macao SAR, China",71.887,613220652.9,2.819881845,140.408,"0"
"Morocco",54.492,9298800799,2.422483338,3565.84,"0"
"Moldova",65.209,22105623052.2446,3.214935005,2.538,"0"
"Madagascar",47.094,830710615.2,1.773282763,176.429,"0"
"Maldives",48.25,474620439.6,0.73439258,165.878,"0"
"Mexico",63.922,703378653.4,2.954474095,176,"0"
"Middle income",58.5140503,22105623052.2446,1.57717041,297.981,"0"
"North Macedonia",68.02485366,8.8e+10,2.791826423,6580.16,"0"
"Mali",35.921,22105623052.2446,1.06070529,1902.88502092391,"0"
"Malta",72.28109756,22105623052.2446,2.09249364,1902.88502092391,"0"
"Myanmar",50.907,22105623052.2446,1.113498505,1902.88502092391,"0"
"Montenegro",71.81107317,22105623052.2446,2.825688579,1902.88502092391,"0"
"Mongolia",56.796,22105623052.2446,1.39767834,1902.88502092391,"0"
"Mozambique",42.759,8984824183,2.175771131,1543.14,"0"
"Mauritania",52.358,22105623052.2446,2.573385299,198,"0"
"Mauritius",64.39053659,1128484859,2.288647759,195.47,"0"
"Malawi",42.206,22105623052.2446,2.675449893,1902.88502092391,"0"
"Malaysia",66.442,1575789254,2.177783126,100.328,"0"
"North America",72.69361493,1e+11,0.891389955,40897,"0"
"Namibia",55.369,816652167.3,1.138532223,327,"0"
"New Caledonia",65.27317073,12861983284,1.945433727,3155.21,"0"
"Niger",36.905,1590428523,3.091336401,516.86,"0"
"Nigeria",43.187,1048690933,2.819446203,100.852,"0"
"Nicaragua",56.319,27778934625,2.714444532,6041.28,"0"
"Netherlands",74.49878049,22105623052.2446,1.036648364,1902.88502092391,"0"
"Norway",74.81756098,22105623052.2446,1.037415699,1902.88502092391,"0"
"Nepal",43.718,32877805200,0.551888897,9704.54,"0"
"New Zealand",72.2195122,2096699189,4.651213349,1044.03,"0"
"Oman",54.755,11230606061,2.901566067,2212.95,"0"
"Pakistan",55.028,2435304100,2.676312499,892.04,"0"
"Panama",68.027,1356591177,2.479348731,440.618,"0"
"Peru",57.575,1511420635,2.44506702,205.57,"0"
"Philippines",63.183,16877163792,2.678614989,2550.01,"0"
"Papua New Guinea",49.512,16875240683,2.803796893,3755.7,"0"
"Poland",70.56097561,22105623052.2446,0.993595532,10289.4,"0"
"Puerto Rico",72.98246341,19347607843,3.80041404,3838.64,"0"
"Korea, Dem. People's Rep.",63.579,8198300000,1.843916845,1902.88502092391,"0"
"Paraguay",66.13,22105623052.2446,1.248292206,5768.98,"0"
"French Polynesia",61.823,22105623052.2446,0.573923976,1902.88502092391,"0"
"Qatar",70.734,571863295.7,3.097631095,98.7398,"0"
"Romania",69.61390244,22105623052.2446,0.770703945,37.0018,"0"
"Russian Federation",67.72390244,22105623052.2446,2.417911585,1902.88502092391,"0"
"Rwanda",45.315,46773303721,5.043953537,1902.88502092391,"0"
"Saudi Arabia",58.148,2830388405,2.727783733,461.049,"0"
"Sudan",53.638,679335901.1,2.097905634,117.656,"0"
"Senegal",43.521,5633673930,1.460269916,5376.2,"0"
"Singapore",70.21970732,22105623052.2446,1.049610388,1902.88502092391,"0"
"Solomon Islands",59.899,22105623052.2446,0.977621393,1902.88502092391,"0"
"Sierra Leone",38.468,74617096.48,3.742357922,15.5084,"0"
"Somalia",42.876,38114542813,2.583755393,8788.52,"0"
"South Sudan",37.767,22105623052.2446,2.505208589,1902.88502092391,"0"
"Sao Tome and Principe",58.13,1.15e+11,1.081293603,16264.6,"0"
"Suriname",64.201,3791298146,1.857993289,569.2,"0"
"Slovak Republic",70.24487805,22105623052.2446,1.142093754,1902.88502092391,"0"
"Slovenia",70.35853659,33237164.72,1.100477254,1902.88502092391,"0"
"Sweden",74.98463415,5.6e+09,3.444404122,437.909,"0"
"Eswatini",51.661,465500000,-0.674438226,277.311,"0"
"Syrian Arab Republic",62.579,82885397621,0.397275735,17450.3,"0"
"Chad",43.396,114173068744.214,-0.043738043,13303.4,"0"
"Togo",49.537,5566756757,3.408600076,1685.41,"0"
"Thailand",61.985,22105623052.2446,2.836993972,1902.88502092391,"0"
"Tajikistan",56.043,22105623052.2446,3.174100607,372.489,"0"
"Turkmenistan",59.703,14882747955,2.570145401,3279.6,"0"
"Timor-Leste",35.092,22105623052.2446,0.744307896,1902.88502092391,"0"
"Tonga",65.611,617321669.4,2.258547786,174.192,"0"
"Trinidad and Tobago",65.572,32506741.72,0.837957207,5.8266,"0"
"Tunisia",56.794,2442667573,1.440186932,1469.09,"0"
"Turkiye",55.387,4328610490,2.251350687,1423.79,"0"
"Tanzania",48.887,22105623052.2446,2.08947322926087,1902.88502092391,"0"
"Uganda",49.769,22105623052.2446,2.729383577,1902.88502092391,"0"
"Ukraine",69.63463415,2359555556,2.684146064,257,"0"
"Uruguay",69.089,22105623052.2446,0.623485913,1902.88502092391,"0"
"St. Vincent and the Grenadines",65.445,1.68e+12,0.985986067,1902.88502092391,"0"
"Venezuela, RB",67.092,3538283322,0.21495279,383.85,"0"
"Virgin Islands (U.S.)",70.49007317,22105623052.2446,2.679311875,1902.88502092391,"0"
"Vietnam",61.446,22105623052.2446,3.143121692,11.5411,"0"
"Vanuatu",57.128,27464651163,2.865306674,1902.88502092391,"0"
"World",60.98542687,22105623052.2446,2.201132315,1902.88502092391,"0"
"Samoa",61.661,22105623052.2446,4.927660819,1902.88502092391,"0"
"Yemen, Rep.",42.364,22105623052.2446,1.855833672,1902.88502092391,"0"
"South Africa",55.428,22105623052.2446,2.306467305,1902.88502092391,"0"
"Zambia",51.999,2618666667,3.385698502,929.054,"0"
"Zimbabwe",57.892,4371300700,3.37373935,931.915,"0"
