"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"1",72.538,3478787909,-1.39341634,886,3,"0"
"2",43.923,45995032026.2993,2.002974306,4238.83344021739,94,"0"
"3",44.404,44348672668,3.087059046,11303,27.1576086956522,"0"
"4",70.416,5550483036,3.524002469,1856,27.1576086956522,"0"
"5",58.97735807,147841734.4,-0.116457757,39.815,79,"0"
"6",68.701,4.75e+11,3.210182611,4238.83344021739,27.1576086956522,"1"
"7",69.777,78676842366,1.571941814,9143,49,"0"
"8",70.91,45995032026.2993,1.547345911,4238.83344021739,27.1576086956522,"0"
"9",68.818,45995032026.2993,0.769119805,4238.83344021739,27.1576086956522,"0"
"10",74.66341463,1.77e+11,1.586852569,26215,40,"1"
"11",72.81219512,71034228443,0.255018231,15841,90,"0"
"12",64.28,45995032026.2993,1.589979082,4238.83344021739,27.1576086956522,"0"
"13",47.083,1426500000,2.222157132,39096.6071428571,55,"0"
"14",73.62170732,3467819149,3.875872216,4238.83344021739,75,"1"
"15",47.643,20249694002,2.636987401,2699,1,"0"
"16",46.984,1114204743,0.359117938,195,58,"0"
"17",53.376,214122723932.357,0.692401877,39096.6071428571,46.1428571428571,"0"
"18",71.57195122,1.05e+11,-0.002637154,39096.6071428571,95,"0"
"19",69.951,196089854.7,2.351726747,119,44,"0"
"20",67.615,1291119965,2.732320149,543,27.1576086956522,"1"
"21",70.601,139150441.3,2.72117058,68,13,"1"
"22",69.81917073,5872756933,2.078033245,4238.83344021739,13,"1"
"23",69.921,214122723932.357,1.014703561,39096.6071428571,46.1428571428571,"0"
"24",50.883,1073861599,3.561334466,797,75,"0"
"25",62.976,2.58e+11,2.355192712,23293,47,"0"
"26",72.618,4366213850,3.121294646,4037,94,"0"
"27",67.786,1.99e+10,0.333268825,10800,99,"0"
"28",46.204,1775842026,2.351338987,338,27.1576086956522,"0"
"29",59.647,969046666.7,2.593364374,161,36,"0"
"30",49.476,139468114.6,1.687299648,71,27.1576086956522,"0"
"31",75.46341463,45995032026.2993,0.834453451,10,27.1576086956522,"1"
"32",70.37205018,6610937473,3.051360315,1427,5,"0"
"33",75.69317073,3.06e+11,1.233397255,70010,46.1428571428571,"1"
"34",73.668,14890317368,1.209917714,4238.83344021739,27.1576086956522,"0"
"35",69.655,45995032026.2993,2.916197508,79,27.1576086956522,"1"
"36",67.26,45995032026.2993,0.551969904,4238.83344021739,27.1576086956522,"0"
"37",51.525,876937559.7,2.156935301,108,27.1576086956522,"0"
"38",51.933,45995032026.2993,0.608112609,4238.83344021739,27.1576086956522,"0"
"39",46.651,34509878044,1.41446107,3836.5,99,"0"
"40",54.506,1.96e+11,1.280952344,22014,27.1576086956522,"0"
"41",67.38,36388366869,2.191748042,2916.3,20,"0"
"42",51.265,196349967.7,3.129532331,16,27.1576086956522,"0"
"43",61.794,12537821038,2.55232497,4238.83344021739,18,"0"
"44",72.678,1993512326,2.92087325,4238.83344021739,42,"0"
"45",68.30313108,2623807074,2.708621113,1008,85,"0"
"46",74.004,8432588484,4.384089486,4238.83344021739,27.1576086956522,"0"
"47",74.983,45995032026.2993,0.254622427,4238.83344021739,27.1576086956522,"0"
"48",70.72219512,20150254096,0.50064039,6545,68,"0"
"49",72.95039024,2087496374,0.547369359,1166,56,"1"
"50",54.049,45995032026.2993,-0.034962755,4238.83344021739,27.1576086956522,"0"
"51",74.2304878,61877813965,-0.028405212,16095,88,"0"
"52",63.234,45995032026.2993,4.353904881,9,27.1576086956522,"0"
"53",59.519,7561300000,2.248271503,1951,27,"0"
"54",64.089,21810767209,2.575940797,2451.4,26,"0"
"55",58.995,22136081081,2.488009421,4238.83344021739,57,"0"
"56",46.927,3437200200,1.625226861,797,42,"0"
"58",68.97804878,45995032026.2993,2.907213881,4238.83344021739,27.1576086956522,"0"
"59",43.675,45995032026.2993,0.704718276,4238.83344021739,27.1576086956522,"0"
"60",73.74658537,570761166.8,3.431460889,391,30,"1"
"61",64.217,7324903188,2.370060679,380,3,"0"
"62",74.3,1235665809,2.444257934,400,70,"1"
"63",62.528,52448332874,0.426515645,14005,92,"0"
"65",74.02682927,1279972866,2.992011192,29,27.1576086956522,"1"
"66",69.726,3862269127,2.496339768,841,27.1576086956522,"0"
"67",52.585,218764445.8,3.140276864,4238.83344021739,76,"0"
"68",42.002,45995032026.2993,0.820316229,4238.83344021739,27.1576086956522,"0"
"70",44.402,4222441615,2.608341021,1065,22,"0"
"71",44.819,52346506765,0.896616063,4246,95,"0"
"72",73.9694878,115651918.9,1.756872656,19,43,"0"
"73",68.012,45995032026.2993,2.229742545,77,27.1576086956522,"0"
"74",57.719,8607500300,2.590691543,1226.1,42,"0"
