"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Aruba",74.8979605772065,0.415054764228261,73.468,90273908546.3461,4.47695438,235.1,25,"0"
"Afghanistan",74.8979605772065,1.437570041,50.331,2028553750,1.799085593,230,94,"0"
"Angola",16.65253439,0.415054764228261,45.306,62048562947,2.566460252,9770,89,"0"
"Albania",74.8979605772065,0.415054764228261,71.836,11228764963,3.378411204,1578,24,"0"
"Arab World",74.8979605772065,8.843559256,64.35157729,459470370.4,0.84471355,255,99,"0"
"United Arab Emirates",8.451462408,0.415054764228261,71.939,6.23e+11,3.678351643,7361.83569646196,58.2173913043478,"1"
"Argentina",74.8979605772065,0.415054764228261,71.594,1.41e+11,1.452964749,12353,87,"0"
"Armenia",74.8979605772065,0.415054764228261,67.879,2256838858,0.047804574,7361.83569646196,58.2173913043478,"0"
"Antigua and Barbuda",5.836687752,4.566640859,71.52,764887117.2,1.816829615,7361.83569646196,58.2173913043478,"0"
"Australia",7.333021952,9.662192809,76.99463415,3.11e+11,1.479978016,39752,95,"1"
"Austria",3.261872319,0.415054764228261,75.56829268,1.66e+11,0.762001611,49146,90,"0"
"Azerbaijan",74.8979605772065,0.415054764228261,64.827,90273908546.3461,0.675750576,7361.83569646196,58.2173913043478,"0"
"Burundi",4.66931912,3.736699612,47.829,3.17e+09,1.76749062,85141.1357142857,86,"0"
"Belgium",0.929335437,3.419726616,76.05195122,4229787234,3.039308338,7361.83569646196,94,"1"
"Benin",6.12671847,7.803215576,53.812,31598341234,2.429600981,1671,69,"0"
"Burkina Faso",3.074572711,7.412015518,49.454,2012131457,0.373204962,216,91,"0"
"Bangladesh",5.60694077985714,2.95231716521429,58.21,2.17e+10,0.190065083,85141.1357142857,76.1428571428571,"0"
"Bulgaria",3.44831218,2.95231716521429,71.64146341,2.05e+11,0.298235706,85141.1357142857,93,"0"
"Bahrain",74.8979605772065,13.84486741,72.39,412086445.5,2.201018709,211,91,"0"
"Bahamas, The",74.8979605772065,0.415054764228261,70.199,1959965244,3.234835391,288,74,"1"
"Bosnia and Herzegovina",10,8.280794397,70.877,287658184,1.63882358,81,96,"1"
"Belarus",17.1187746,21.97113917,70.83658537,4867582620,2.115822569,7361.83569646196,41,"1"
"Belize",5.60694077985714,2.95231716521429,71.242,449477523683.286,-0.989770812,85141.1357142857,76.1428571428571,"0"
"Bolivia",11.39634612,1.481638236,56.099,3790567052,3.340333628,1784,92,"0"
"Barbados",2.138662932,0.415054764228261,74.704,3520551724,2.845518053,1001,93,"0"
"Brunei Darussalam",23.8,0.415054764228261,70.185,20632090909,-1.803750479,5030,99,"0"
"Bhutan",-0.504303389,0.415054764228261,52.878,3101300642,2.659198504,152,66,"0"
"Botswana",7.002169567,5.997142468,59.191,1132101253,2.45479768,75,86,"0"
"Central African Republic",10.65350579,0.415054764228261,49.104,306891107.3,2.024479835,6,88,"0"
"Canada",74.8979605772065,0.415054764228261,77.42195122,90273908546.3461,3.218335816,86,38,"1"
"Central Europe and the Baltics",1.099381284,0.415054764228261,70.65633134,12314482085,3.053590985,2002,48,"0"
"Channel Islands",4.468437874,0.415054764228261,75.41,18011678552,0.707789539,7361.83569646196,58.2173913043478,"0"
"Chile",-0.012330456,0.415054764228261,73.509,90273908546.3461,2.197486883,120,58.2173913043478,"1"
"China",74.8979605772065,0.415054764228261,69.145,90273908546.3461,-0.052807883,7361.83569646196,58.2173913043478,"0"
"Cote d'Ivoire",-0.738282265,0.415054764228261,53.254,1738605558,3.226267661,285,20,"0"
"Cameroon",74.8979605772065,0.415054764228261,53.362,90273908546.3461,0.78285688,7361.83569646196,58.2173913043478,"0"
"Congo, Dem. Rep.",26.03648114,21.55469919,49.043,33113887818,1.63946957,7939.9,95,"0"
"Congo, Rep.",3.052290121,3.451644667,54.638,3.61e+11,1.467303211,53345,97,"0"
"Colombia",29.13782253,-5.098230827,69.75,47844090710,1.967944384,6720.5,88,"0"
"Comoros",74.8979605772065,0.415054764228261,56.677,429622147.7,2.948800751,18,94,"0"
"Cabo Verde",81.29540481,0.415054764228261,64.676,9349764580,3.370795322,7361.83569646196,35,"0"
"Costa Rica",2.889053742,0.415054764228261,75.654,2798746051,2.734809305,7361.83569646196,79,"0"
"Caribbean small states",19.03975266,11.81696709,70.19762945,5711687787,2.611876649,1990,95,"0"
"Cuba",-0.805879698,0.415054764228261,74.638,10795850107,3.606606985,7361.83569646196,54,"0"
"Czech Republic",74.8979605772065,0.415054764228261,71.38390244,28645436569,0.881662573,4600,92,"0"
"Germany",4.502054629,0.415054764228261,75.2277561,5591130218,2.052311699,2568,93,"1"
"Djibouti",74.8979605772065,0.415054764228261,56.678,40728950705,-0.267830773,7361.83569646196,58.2173913043478,"0"
"Denmark",2.641603064,0.415054764228261,74.80536585,1.38e+11,0.16245632,36870,90,"0"
"Dominican Republic",74.8979605772065,0.415054764228261,66.574,452328087.3,4.59912906,25,85,"0"
"Algeria",50.46247924,0.415054764228261,66.938,7073675545,1.919391858,3006,69,"0"
"Ecuador",48.519113,0.415054764228261,68.899,15239278100,2.364382033,1861.9,68,"0"
"Egypt, Arab Rep.",16.75637471,1.067535299,64.572,42978914311,2.426660158,7361.83569646196,87,"0"
