"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Aruba",11.31099987,-6.811161089,17.54292893,74.872,12416161049,2.396978302,3336.435,63,-2.712689,1.3,3.55,"0"
"Afghanistan",13.67000008,2.266922095,10.00074741,60.484,12044208086,-0.673894046,4552.581457,98,-0.0452486,3.2,41.2,"0"
"Angola",10.15999985,5.737060361,21.56907236,54.311,1.37e+11,1.722107572,45174.05,95,-1.197078,2.8,11.23,"0"
"Arab World",7.7331404052337,-0.550159996,8.080009163,70.15756008,1228329630,1.567388321,50.81,99,0.7213244,2.89945652173913,42,"0"
"United Arab Emirates",9.329219931,2.920897118,7.67714206759239,76.145,1.97e+12,2.43302065,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,21.56866715,"1"
"Argentina",8.649999619,3.9171047698587,7.67714206759239,75.116,3.33e+11,0.999542289,55672.1,94,-0.2324056,2.9,34,"0"
"Armenia",18.44000053,3.406766827,15.87088144,73.118,8647936748,-0.673638853,3321.1,93,0.2277748,2.7,15.3,"0"
"Antigua and Barbuda",7.7331404052337,-2.13542872,8.845450066,75.683,2498882682,0.088751275,33214.18211725,78.9402173913043,1.122499,2.89945652173913,58,"0"
"Australia",5.559999943,1.771117166,0.983437679,81.54390244,9.28e+11,2.06104513,154331.058,92,0.855689,8.7,74.25,"1"
"Austria",5.300000191,0.506308828,7.67714206759239,80.33170732,4.02e+11,0.26195319,136988.5294,83,1.190602,7.9,73.45,"0"
"Burundi",14.25,2.062734735,6.604411519,56.488,9981960000,1.70786519,250078.472357143,96,0.8605515,6.40714285714286,33.88,"0"
"Benin",5,5.423472362,6.146538327,59.009,1.02e+11,1.116806435,21833,97,-1.544713,2.4,3.1,"0"
"Burkina Faso",10.02000046,3.643861893,11.14026766,56.377,4465500000,0.413865235,378.522,93,1.048899,7.4,64.7,"0"
"Bangladesh",6.099999905,12.94565634,2.211575835,69.485,50874078052,-0.245915441,21304.2,96,0.4887801,2.4,27.43,"0"
"Bahrain",8.25,3.9171047698587,17.19489405,75.913,1317309450,2.520902564,668.643,97,0.0278384,2.89945652173913,27.2,"0"
"Bahamas, The",0.995000005,0.896072356,2.377428574,72.067,9738626993,2.809426641,1224.729,79,0.4032981,2.9,2.24,"1"
"Bosnia and Herzegovina",3.960000038,4.361122191,8.585369231,75.844,1234014292,0.995311712,495.846,93,0.803937,5,7.17,"1"
"Belarus",2.970000029,3.346454201,15.14603743,70.40731707,17339992165,1.666170773,33214.18211725,93,-0.5074582,2.7,16.8,"1"
"Belize",24.06999969,-0.381464282,7.732691915,71.541,17613836527,-0.489066296,3953.92,90,-0.6666183,3,37.74,"0"
"Bolivia",16.17000008,8.027297031,6.850390945,67.476,10267133178,1.957039362,3455.712,96,0.9527901,5.6,6.15,"0"
"Brunei Darussalam",6.820000172,2.753202239,7.116714248,74.623,52023504656,-0.644281363,23538.56866,94,0.353604,3.8,45,"0"
"Bhutan",3.559000015,2.608176664,2.511578975,67.882,9450697336,3.02644987,900.493,92,0.0349414,3.6,1.13,"0"
"Botswana",1.623000026,10.55543553,3.274559064,58.447,1781455092,3.287161878,402.225055,94,-1.272694,1.8,0.9,"0"
"Central African Republic",10.72500038,0.991103481,8.614687103,46.719,1711817182,1.203305844,35.120305,99,0.8190411,2.89945652173913,21,"0"
"Canada",0.579999983,-1.241717542,7.67714206759239,80.99512195,10401851851,1.499593466,4196.21,94,-0.5625602,2,0.53,"1"
"Central Europe and the Baltics",3.76699996,3.043618479,7.67714206759239,74.93036393,27932971683,2.752285804,3552.181,80,-0.4744701,2.2,3.84,"0"
"Switzerland",8.340000153,0.299466803,4.818745226,82.04390244,1.37e+12,1.141758099,329907,91,1.126739,8.7,80.3,"1"
"Channel Islands",10.1119007,1.239738108,7.67714206759239,81.268,59411440870,0.675580497,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,31.75089746,"0"
"Chile",5.486999989,3.521262272,7.67714206759239,78.558,257880572219.433,1.49242271,270,78.9402173913043,-1.905314,2,25.7163994958913,"1"
"China",8.488869857,2.753202239,7.67714206759239,74.119,257880572219.433,-0.191813703,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,25.7163994958913,"0"
"Cote d'Ivoire",0.958999991,9.952422907,7.67714206759239,52.313,9290728773,3.311571102,2800,24,-1.728324,1.6,1.5,"0"
"Cameroon",6.882999897,3.9171047698587,7.67714206759239,54.627,257880572219.433,1.10989354,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,25.7163994958913,"0"
"Congo, Dem. Rep.",11.31000042,0.353045178,3.545972113,56.35,1.72e+11,1.059286412,42805.543,94,0.6032314,6.7,41.56,"0"
"Colombia",11.28999996,4.201044769,8.594547354,75.193,2.32e+11,1.11249247,32897.672,92,-1.831908,3.7,30,"0"
"Comoros",6.337999821,4.362348293,9.421063345,61.475,905341090.6,2.408874832,14.957,83,-0.7667361,2.3,3.5,"0"
"Cabo Verde",3.792999983,2.8,24.69477027,70.911,18648373312,3.316893457,33214.18211725,72,-2.002091,2.89945652173913,0.56,"0"
"Costa Rica",19.99699974,4.415003748,7.67714206759239,78.626,9684321633,3.283729022,33214.18211725,78,-0.2495118,2.89945652173913,4.5,"0"
"Caribbean small states",7.710000038,7.842701677,9.135716342,72.56174942,30745712007,1.282673085,8783.7,86,0.5871099,5.3,34.33,"0"
"Cuba",6.592999935,1.019504577,3.724734136,78.256,33886814907,2.287165167,33214.18211725,81,-1.320874,2.89945652173913,2,"0"
"Cyprus",9.199999809,2.378528459,8.341455183,79.245,63084004705,-0.105027517,21122.8512,96,0.6115873,4.1,50.58,"0"
"Czech Republic",1.669999957,3.9171047698587,7.67714206759239,77.07804878,6.21e+10,-0.09138305,3092.127,96,0.3571717,4.4,14.33,"0"
"Germany",5.360000134,0.326276652,7.67714206759239,79.83658537,25945391775,1.51595562,7834.981062,99,0.3891754,6.6,49.81,"1"
"Djibouti",6.659999847,1.019377353,3.316317307,59.561,2.07e+11,0.569729451,112955.4897,99,0.9050642,4.9,64.43,"0"
"Denmark",6.409999847,1.30470991,7.67714206759239,78.59756098,3.21e+11,0.535079062,83132.94955,89,1.000632,9.3,86.84,"0"
"Dominican Republic",27.22100067,1.675495873,7.67714206759239,71.806,1049110685,1.393908035,450.712,89,0.493949,2.8,4,"0"
"Algeria",5.46999979,1.442151318,14.14294579,74.644,48261033298,1.246752721,12295.9,82,-0.0014113,3,27.72,"0"
"Ecuador",4.610000134,5.159968292,7.67714206759239,74.895,62519686000,1.628632124,15089.89,94,-0.6731879,2.2,24.6,"0"
"Egypt, Arab Rep.",9.090000153,11.76349544,0.710036321,70.159,1.89e+11,1.864456434,33214.18211725,97,-0.607051,2.89945652173913,20,"0"
"Eritrea",7.329999924,1.055950297,7.67714206759239,61.602,17601620000,0.421679553,3866.2,91,-0.0061894,3.4,12.11,"0"
"Spain",8.548999786,4.691065677,7.67714206759239,81.47560976,15027795173,4.625126705,9100,52,0.3732556,1.8,2.13,"1"
"Estonia",5.244999886,3.9171047698587,7.67714206759239,74.82439024,1856695551,1.84837072,11,95,-0.6810662,2.6,0.54,"0"
"Ethiopia",13.55000019,-0.078408311,7.67714206759239,60.645,19633031398,-0.192768077,9047.977055,95,0.5657759,6.6,72.5,"0"
"Finland",27.05200005,7.448234234,1.462218099,79.7195122,3580417067,0.713105835,1660,88,-0.0145444,2.89945652173913,8.94,"1"
"Fiji",2.380000114,8.483644045,7.67714206759239,66.559,32437389116,2.756861848,7667.963,58,-1.640794,2.7,0.54,"0"
"France",4.309999943,3.13103559,6.374077023,81.41463415,2870624636,0.974703301,1439.763,99,-0.2741492,2.89945652173913,17,"1"
"Micronesia, Fed. Sts.",8.25,-9.17e-07,1.94049711985714,66.29,2.53e+11,0.478246393,62854.4445,99,1.459815,8.9,82.49,"0"
"United Kingdom",12.25599957,3.9171047698587,7.67714206759239,80.05121951,257880572219.433,0.45038994,1717.056,78.9402173913043,-0.156206382065217,2.89945652173913,44.6,"1"
"Georgia",19.76399994,1.885707546,7.67714206759239,71.18,12113699661,3.264264158,5355.978,76,0.1416965,2.9,9.5,"0"
"Ghana",9.324000359,4.561506877,21.51562863,60.645,1450140386,2.973715757,33214.18211725,98,0.1244179,2.89945652173913,7.63,"0"
"Guinea",20.70999908,1.727514611,20.43890451,56.279,10766836277,-0.888185043,1133.6,88,-0.9665727,4.1,20.07,"0"
"Equatorial Guinea",9.619999886,1.210072692,7.67714206759239,55.329,3.31e+11,0.263026401,25148.58352,99,-0.2077363,3.8,42.4,"0"
