GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports,Recession
,39.558,,2.479516591,,,,,230,1
,42.374,,3.987886048,,,,,1202,1
5.533804396,67.686,,1.606684604,30.63044137,,,,3930.7,1
,70.519,,0.481936625,,,,,,1
4.105459418,72.23609756,,2.531220259,16.4054576,,,,11015.9,1
,69.756,,0.642585338,,,,,86.0341,1
8.153938685,60.513,,2.364459527,34.80018569,,,,7951,1
,28.04,,1.122636655,,,,,19,1
,73.23756098,,1.396021669,15.19809743,,,,34507.6,1
2.310000003,63.134,,2.065955013,0.277735673,,,,7107.89,1
0.984491816,71.707,,1.536634618,11.85888112,,,,2660,1
11.20850963,60.258,,2.808791611,52.47955888,,,,1123.5,1
4.300919143,72.60487805,,0.720023852,11.82165351,,,,46259.3,1
0.890068741,71.19541463,,0.038969223,7.275290202,,,,89368.4,1
1.185336255,50.374,,2.331906417,16.66751573,,,,3926.4,1
,71.66170732,,2.975426108,35.49811447,,,,1824.8,1
5.500141101,72.73439024,,0.654388936,20.24637988,,,,30464.7,1
5.77682723,63.378,,2.874440397,23.11210095,,,,2957.69,1
5.596049945,54.066,,2.116192076,23.89823584,,,,1707.74,1
3.923010202,74.75365854,,0.620349415,11.37113673,,,,6281.94,1
9.386834919,56.994,,2.708053712,15.23343533,,,,1503.3,1
3.394606379,63.185,,2.833417716,32.59974142,,,,2724.91,1
5.618785814,72.9697561,,1.09260761,15.94510943,,,,7090.98,1
-2.484404003,72.52439024,,0.06305921,15.03444716,,,,38196.6,1
-0.540551652,71.95609756,,0.913660196,8.983063068,,,,99437,1
,60.112,,2.236503082,,,,,25,1
,43.923,,-1.39341634,,,,,694,1
-4.400001219,44.404,,3.524002469,,1528.363089,100.315363,220.648505,1856,1
-5.189789141,69.777,,1.571941814,106.364099,782.297622,6563.483263,1794.027091,9143,1
,72.538,,0.769119805,,8507.709846,,,,1
3.338807333,74.66341463,,1.586852569,9.524514667,70.683231,9319.038285,3499.316989,21477,1
